g23318.t1	gi|187924733|ref|YP_001896375.1|	90.91	77	7	0	1	77	230	306	4e-37	 157
g2420.t1	gi|76803801|gb|ABA55805.1|	73.27	449	109	2	4	444	24	469	0.0	 710
g23801.t1	gi|154252258|ref|YP_001413082.1|	68.00	75	24	0	1	75	76	150	2e-25	 119
g21752.t1	gi|307727541|ref|YP_003910754.1|	93.98	83	5	0	1	83	161	243	4e-41	 171
g21752.t1	gi|323528182|ref|YP_004230334.1|	93.98	83	5	0	1	83	161	243	4e-41	 171
g4502.t1	gi|256422724|ref|YP_003123377.1|	42.39	1012	438	16	19	937	737	1696	3e-176	 624
g16296.t1	gi|340787215|ref|YP_004752680.1|	90.00	210	21	0	4	213	9	218	2e-111	 405
g11133.t1	gi|255036975|ref|YP_003087596.1|	35.79	95	53	4	26	114	244	336	2e-04	49.7
g24981.t1	gi|169831740|ref|YP_001717722.1|	44.44	72	40	0	1	72	32	103	7e-11	70.9
g5931.t1	gi|19571727|emb|CAC86963.1|	74.20	845	177	5	17	824	23	863	0.0	1305
