# BLASTX 2.2.25+
# Query: scaffold00001 length=8753096
# Database: /nfs4shares/tmockler_share/Genomes/Arabidopsis_thaliana/BLASTDBs/Athaliana.AA.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3190 hits found
scaffold00001	AT1G10170.1	61.62	1011	320	15	1780005	1777093	207	1189	0.0	1258
scaffold00001	AT5G65700.2	74.47	850	206	5	7523669	7526203	23	866	0.0	1217
scaffold00001	AT5G65700.2	35.40	986	492	19	7531369	7534116	57	967	3e-137	 498
scaffold00001	AT5G65700.2	39.64	280	161	5	7577421	7576597	696	972	2e-45	 192
scaffold00001	AT5G65700.2	34.11	343	214	7	7573082	7572069	653	988	1e-42	 183
scaffold00001	AT5G65700.2	79.28	111	23	0	7526317	7526649	867	977	2e-41	 180
scaffold00001	AT5G65700.1	74.47	850	206	5	7523669	7526203	23	866	0.0	1217
scaffold00001	AT5G65700.1	35.40	986	492	19	7531369	7534116	57	967	3e-137	 498
scaffold00001	AT5G65700.1	39.64	280	161	5	7577421	7576597	696	972	2e-45	 192
scaffold00001	AT5G65700.1	34.11	343	214	7	7573082	7572069	653	988	1e-42	 183
scaffold00001	AT5G65700.1	79.28	111	23	0	7526317	7526649	867	977	2e-41	 180
scaffold00001	AT3G49670.1	73.35	848	213	7	7523669	7526203	25	862	0.0	1184
scaffold00001	AT3G49670.1	35.80	1000	492	21	7531324	7534116	45	963	5e-140	 507
scaffold00001	AT3G49670.1	38.19	309	179	7	7577421	7576519	692	996	9e-45	 191
scaffold00001	AT3G49670.1	32.09	349	225	7	7573082	7572051	649	990	3e-41	 179
scaffold00001	AT3G49670.1	76.58	111	26	0	7526317	7526649	863	973	3e-40	 176
scaffold00001	AT1G03060.1	60.25	1029	385	11	1629869	1626807	1929	2941	0.0	1123
scaffold00001	AT1G03060.1	73.56	556	141	5	1631898	1630243	1385	1938	0.0	 803
scaffold00001	AT1G03060.1	68.97	390	120	1	1623846	1622680	3190	3579	9e-162	 579
scaffold00001	AT1G03060.1	65.47	362	123	1	1633153	1632074	1024	1385	2e-126	 462
scaffold00001	AT1G03060.1	66.16	396	125	2	1635514	1634327	361	747	3e-110	 408
scaffold00001	AT1G03060.1	49.38	243	105	3	1634172	1633474	745	979	8e-61	 217
scaffold00001	AT1G03060.1	64.86	37	12	1	1633394	1633284	978	1013	8e-61	48.5
scaffold00001	AT1G03060.1	93.27	104	7	0	1625202	1624891	3039	3142	1e-50	 210
scaffold00001	AT1G03060.1	85.71	105	15	0	1625695	1625381	2937	3041	1e-45	 193
scaffold00001	AT1G03060.1	43.36	143	47	2	8496290	8496703	3153	3266	4e-20	 108
scaffold00001	AT1G03060.1	40.54	148	84	2	8492821	8493255	2880	3026	5e-18	 102
scaffold00001	AT1G03060.1	83.02	53	9	0	1624759	1624601	3141	3193	6e-17	98.6
scaffold00001	AT1G03060.1	63.01	73	25	1	8494138	8494350	3080	3152	8e-16	94.7
scaffold00001	AT1G03060.1	77.61	67	15	0	1637216	1637016	235	301	4e-13	85.9
scaffold00001	AT1G03060.1	66.67	45	15	0	1642420	1642286	115	159	9e-11	65.9
scaffold00001	AT1G03060.1	52.00	25	12	0	1642215	1642141	154	178	9e-11	32.0
scaffold00001	AT1G03060.1	88.89	36	4	0	1635813	1635706	324	359	5e-07	65.5
scaffold00001	AT5G35840.1	64.61	664	224	4	5836220	5838211	21	673	0.0	 839
scaffold00001	AT5G35840.1	45.19	416	181	3	5838325	5839566	675	1045	0.0	 357
scaffold00001	AT5G35840.1	57.58	66	26	2	5839661	5839852	1045	1110	3e-10	76.3
scaffold00001	AT1G09570.1	62.69	670	242	4	5836214	5838211	22	687	0.0	 816
scaffold00001	AT1G09570.1	44.68	423	188	2	5838325	5839593	689	1065	0.0	 352
scaffold00001	AT1G09570.1	47.69	65	34	0	5839661	5839855	1056	1120	2e-07	67.0
scaffold00001	AT1G09570.2	65.92	581	192	3	5836481	5838211	1	579	0.0	 754
scaffold00001	AT1G09570.2	44.68	423	188	2	5838325	5839593	581	957	0.0	 352
scaffold00001	AT1G09570.2	47.69	65	34	0	5839661	5839855	948	1012	2e-07	67.0
scaffold00001	AT1G74360.1	55.66	1078	451	12	6636631	6633413	33	1088	0.0	1004
scaffold00001	AT1G74360.1	32.09	963	517	25	7523675	7526203	41	986	5e-109	 374
